CustomerID,ChurnProbability,MonthlyCharges,CustomerValue,EstimatedLoss,Priority
1400-MMYXY,0.8089250670037518,105.9,1270.8000000000002,1027.9819751483678,High
7216-EWTRS,0.8476868059655555,100.8,1209.6,1025.3619604959358,High
6496-SLWHQ,0.8127435991788534,105.0,1260.0,1024.0569349653554,High
3389-YGYAI,0.7961063705956737,105.5,1266.0,1007.8706651741229,High
8884-ADFVN,0.8193833757747956,101.95,1223.4,1002.433621922885,High
5419-JPRRN,0.8194412818278032,101.45,1217.4,997.5878164971676,High
4822-RVYBB,0.8228409281152315,100.6,1207.1999999999998,993.3335684207073,High
0781-LKXBR,0.8191013929440317,100.5,1206.0,987.8362798905023,High
6023-YEBUP,0.813940716955209,100.95,1211.4,986.0077845195402,High
3606-TWKGI,0.7669751683096461,106.9,1282.8000000000002,983.8757459076141,High
6861-XWTWQ,0.8240961913862594,99.25,1191.0,981.498563941035,High
9681-OXGVC,0.8099581540361783,100.5,1206.0,976.809533767631,High
9221-OTIVJ,0.7761532238274915,104.85,1258.1999999999998,976.5559862197497,High
2012-NWRPA,0.8142788198399867,99.55,1194.6,972.737478180848,High
4587-VVTOX,0.7646230872898311,105.3,1263.6,966.1777330994305,High
5178-LMXOP,0.8458138527179676,95.1,1141.1999999999998,965.2427687217445,High
7450-NWRTR,0.8086012836457963,99.45,1193.4,964.9847719028934,High
8098-LLAZX,0.8408711072922886,95.45,1145.4,963.1337662925874,High
5150-ITWWB,0.8439820325239459,94.85,1138.1999999999998,960.620349418755,High
9300-AGZNL,0.8509883098798267,94.0,1128.0,959.9148135444444,High
7024-OHCCK,0.8501848698794666,93.85,1126.1999999999998,957.4782004582552,High
9305-CDSKC,0.7997870728577012,99.65,1195.8000000000002,956.3853817232393,High
9497-QCMMS,0.8518806879083878,93.55,1122.6,956.3212602459561,High
1374-DMZUI,0.844475551087684,94.3,1131.6,955.6085336108232,High
2720-WGKHP,0.8470644588103845,94.0,1128.0,955.4887095381138,High
4424-TKOPW,0.8479782871137845,93.85,1126.1999999999998,954.993146947544,High
2968-SSGAA,0.7905949201014121,100.6,1207.1999999999998,954.4061875464245,High
5567-WSELE,0.8391228321748282,94.6,1135.1999999999998,952.5722390848648,High
2446-BEGGB,0.8071648204676567,98.25,1179.0,951.6473233313673,High
4078-SAYYN,0.7841248102787083,100.75,1209.0,948.0068956269583,High
1875-QIVME,0.7560416541141959,104.4,1252.8000000000002,947.1689842742647,High
7234-FECYN,0.7768403944323092,101.35,1216.1999999999998,944.7932877085743,High
9057-SIHCH,0.8146155938907761,96.6,1159.1999999999998,944.3023964381875,High
3158-MOERK,0.819262914592222,96.0,1152.0,943.7908776102397,High
2027-FECZV,0.7362423283622279,106.7,1280.4,942.6846772349967,High
0107-YHINA,0.787290930925297,99.75,1197.0,942.3872443175806,High
0295-PPHDO,0.8217279506187842,95.45,1145.4,941.2071946387555,High
4910-GMJOT,0.8273107533680396,94.6,1135.1999999999998,939.1631672233984,High
7851-WZEKY,0.8222715078585693,95.15,1141.8000000000002,938.8696076729145,High
3292-PBZEJ,0.7018562354725555,111.4,1336.8000000000002,938.2414155797123,High
1075-BGWOH,0.7888587442591346,98.75,1185.0,934.7976119470745,High
8149-RSOUN,0.8289841170269536,93.85,1126.1999999999998,933.601912595755,High
3902-FOIGH,0.7669391464558364,101.35,1216.1999999999998,932.7513899195881,High
2656-TABEH,0.774310931182383,100.2,1202.4,931.0314636536974,High
0897-FEGMU,0.7797580338814025,99.5,1194.0,931.0310924543946,High
3049-SOLAY,0.8145684326394332,95.2,1142.4,930.5629774472886,High
1455-UGQVH,0.7869882214167196,98.5,1182.0,930.2200777145626,High
